Date,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,No_of_facilities
2/5/2023,G Residence @ Desa Pandan,2015,4500,Desa Pandan,Service Residence,3,2,2,1539,1,Kuala Lumpur,4
2/6/2023,Greenpark,1999,1400,Old Klang Road,Condominium,3,1,2,1270,3,Kuala Lumpur,10
2/7/2023,Majestic Maxim,2021,1800,Cheras,Service Residence,3,1,2,819,3,Kuala Lumpur,10
2/8/2023,Baiduri Apartment (Desa Pandan),2021,1500,Desa Pandan,Apartment,3,1,2,950,3,Kuala Lumpur,2
2/9/2023,Bennington Residences @ SkyArena,2019,3000,Setapak,Condominium,3,2,2,1200,1,Kuala Lumpur,11
2/10/2023,Sri Putramas,2004,1600,Jalan Kuching,Condominium,3,1,2,1100,1,Kuala Lumpur,9
2/11/2023,Putra Villa,2007,1800,Setapak,Condominium,3,2,2,1200,1,Kuala Lumpur,9
2/12/2023,38 Bidara,2007,2100,KLCC,Condominium,2,2,2,706,1,Kuala Lumpur,9
2/13/2023,3 Towers,2015,2500,Ampang Hilir,Condominium,2,1,1,890,1,Kuala Lumpur,6
2/14/2023,One Maxim,2020,1300,Sentul,Service Residence,2,1,2,650,3,Kuala Lumpur,9
2/15/2023,Casa Mutiara,2007,2000,Bukit Bintang,Service Residence,2,1,2,742,1,Kuala Lumpur,7
2/16/2023,Sofiya Residences,2007,2000,Desa ParkCity,Condominium,3,1,2,862,1,Kuala Lumpur,2
2/17/2023,Laman Tasik,2002,2100,Cheras,Condominium,4,1,3,1300,1,Kuala Lumpur,6
2/18/2023,Residensi Seri Wahyu @ Jalan Kuching KL,2002,1300,KL City,Apartment,3,1,2,805,3,Kuala Lumpur,9
